Student_id,point_id,pointEarned,date
1,1,50,15-01-23
1,2,60,20-02-23
2,1,45,10-01-23
2,2,55,15-02-23
3,1,60,05-01-23
3,2,70,10-02-23
4,1,55,01-01-23
4,2,65,06-02-23
5,1,50,28-01-23
5,2,60,02-02-23
6,1,45,23-01-23
6,2,55,28-02-23
7,1,60,20-01-23
7,2,70,25-02-23
8,1,55,15-01-23
8,2,65,20-02-23
9,1,50,10-01-23
9,2,60,15-02-23
10,1,45,05-01-23
10,2,55,10-02-23
11,1,60,30-01-23
11,2,70,20-02-23
12,1,55,05-03-23
12,2,65,10-04-23
13,1,50,15-05-23
13,2,60,20-06-23
14,1,45,25-07-23
14,2,55,30-08-23
15,1,60,10-09-23
15,2,70,15-10-23
16,1,55,20-11-23
16,2,65,25-12-23
17,1,50,30-01-24
17,2,60,28-02-24
18,1,45,25-03-24
18,2,55,20-04-24
19,1,60,15-05-24
19,2,70,10-06-24
20,1,55,05-07-24
20,2,65,01-08-24
21,1,50,05-09-24
21,2,60,10-10-24
22,1,45,15-11-24
22,2,55,20-12-24
23,1,60,25-01-25
23,2,70,28-02-25
24,1,55,30-03-25
24,2,65,30-04-25
25,1,50,30-05-25
25,2,60,30-06-25
26,1,45,30-07-25
26,2,55,30-08-25
27,1,60,30-09-25
27,2,70,30-10-25
28,1,55,30-11-25
28,2,65,30-12-25
29,1,50,30-01-26
29,2,60,28-02-26
30,1,45,30-03-26
30,2,55,30-04-26
31,1,60,30-05-26
31,2,70,30-06-26
32,1,55,30-07-26
32,2,65,30-08-26
33,1,50,30-09-26
33,2,60,30-10-26
34,1,45,30-11-26
34,2,55,30-12-26
35,1,60,30-01-27
35,2,70,28-02-27
36,1,55,30-03-27
36,2,65,30-04-27
37,1,50,30-05-27
37,2,60,30-06-27
38,1,45,30-07-27
38,2,55,30-08-27
39,1,60,30-09-27
39,2,70,30-10-27
40,1,55,30-11-27
40,2,65,30-12-27
41,1,50,30-01-28
41,2,60,28-02-28
42,1,45,30-03-28
42,2,55,30-04-28
43,1,60,30-05-28
43,2,70,30-06-28
44,1,55,30-07-28
44,2,65,30-08-28
45,1,50,30-09-28
45,2,60,30-10-28
46,1,45,30-11-28
46,2,55,30-12-28
47,1,60,30-01-29
47,2,70,28-02-29
48,1,55,30-03-29
48,2,65,30-04-29
49,1,50,30-05-29
49,2,60,30-06-29
50,1,45,30-07-29
50,2,55,30-08-29
